Id;X  [m];Y  [m];Z  [m];U(95)  [m];U(95) X  [m];U(95) Y  [m];U(95) Z  [m];Target;Temperature  [C];Pressure  [mBar];Humidity  [%];Time Stamp;Delete;
1;-1,853946;-1,695888;0,577730;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:41.348;;
2;-1,856977;-1,698666;0,578498;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:41.497;;
3;-1,860377;-1,699344;0,578453;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:41.644;;
4;-1,860373;-1,701183;0,579659;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:41.791;;
5;-1,863764;-1,724451;0,580926;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:42.204;;
6;-1,869743;-1,730883;0,580719;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:42.351;;
7;-1,864186;-1,766060;0,585297;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:42.911;;
8;-1,871267;-1,931974;0,587566;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:45.090;;
9;-1,867466;-1,946662;0,583044;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:45.678;;
10;-1,893963;-2,084361;0,584272;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:47.148;;
11;-1,897343;-2,097346;0,585666;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:47.295;;
12;-1,897796;-2,123321;0,586175;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:47.589;;
13;-1,898120;-2,134466;0,585456;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:47.736;;
14;-1,901907;-2,145426;0,584450;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:47.883;;
15;-1,913199;-2,164124;0,585254;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:48.148;;
16;-1,918716;-2,175426;0,586530;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:48.295;;
17;-1,924017;-2,186664;0,588732;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:48.442;;
18;-1,922652;-2,212580;0,593624;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:48.736;;
19;-1,921895;-2,223577;0,594668;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:48.882;;
20;-1,931670;-2,514159;0,580921;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:51.117;;
21;-1,928989;-2,539922;0,581061;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:51.411;;
22;-1,932747;-2,588061;0,578814;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:51.853;;
23;-1,911630;-2,750570;0,582919;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:53.001;;
24;-1,910105;-2,764777;0,580382;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:53.149;;
25;-1,902225;-2,833616;0,580276;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:53.589;;
26;-1,899049;-2,921362;0,583928;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:54.177;;
27;-1,892872;-2,947370;0,582774;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:54.325;;
28;-1,885965;-2,977059;0,580700;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:54.471;;
29;-1,872877;-3,121204;0,578392;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:55.207;;
30;-1,868679;-3,142221;0,577640;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:55.353;;
31;-1,875829;-3,200493;0,580802;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:55.767;;
32;-1,877753;-3,231917;0,586568;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:56.208;;
33;-1,869324;-3,280809;0,589550;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:56.797;;
34;-1,868799;-3,295924;0,589046;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:56.943;;
35;-1,871694;-3,314098;0,586888;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:57.091;;
36;-1,873997;-3,334774;0,584738;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:57.237;;
37;-1,877283;-3,452990;0,587171;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:57.972;;
38;-1,880318;-3,471984;0,589058;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:58.119;;
39;-1,878786;-3,491397;0,590776;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:58.266;;
40;-1,873799;-3,511360;0,592710;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:58.413;;
41;-1,871735;-3,556222;0,590722;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:58.854;;
42;-1,878431;-3,616468;0,588522;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:59.295;;
43;-1,910794;-3,733691;0,586682;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:43:00.030;;
44;-1,918627;-3,779819;0,590370;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:43:00.297;;
45;-1,921958;-3,804727;0,592496;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:43:00.444;;
46;-1,936499;-3,849267;0,592249;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:43:00.856;;
47;-1,938319;-3,859631;0,591774;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:43:01.003;;
48;-2,054796;-4,033114;0,587810;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:43:02.473;;
49;-2,068013;-4,105778;0,594474;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:43:02.914;;
50;-2,074351;-4,124973;0,596377;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:43:03.061;;
51;-2,086617;-4,161425;0,597858;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:43:03.355;;
52;-2,052977;-4,460607;0,605734;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:43:05.300;;
53;-2,066702;-4,775896;0,602023;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:43:07.595;;
54;-2,064709;-4,831138;0,599541;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:43:07.889;;
55;-1,936939;-5,567626;0,594671;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:43:16.627;;
56;-1,940731;-5,568891;0,591896;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:43:16.921;;
57;-1,942904;-5,564585;0,589172;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:43:17.068;;
58;-1,943766;-5,557892;0,587525;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:43:17.215;;
59;-1,944362;-5,555460;0,586632;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:43:17.362;;
60;-1,944230;-5,560045;0,587302;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:43:17.656;;
61;-1,942376;-5,566120;0,587871;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:43:17.803;;
62;-1,915858;-6,070790;0,592723;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:43:20.947;;
63;-1,826441;-7,424852;0,579965;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:43:30.226;;
64;-1,825138;-7,427063;0,580652;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:43:30.374;;
65;-1,825943;-7,428078;0,581022;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:43:30.521;;
66;-1,827858;-7,427115;0,580742;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:43:30.668;;
67;-1,829358;-7,427757;0,581114;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:43:30.935;;
68;-1,829587;-7,432323;0,581725;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:43:31.082;;
69;-1,785486;-8,233153;0,578605;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:43:38.818;;
70;-1,787715;-8,234135;0,578937;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:43:38.965;;
71;-1,787071;-8,234004;0,576515;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:43:39.379;;
72;-1,785084;-8,230321;0,575866;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:43:39.526;;
73;-1,783726;-8,231342;0,575927;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:43:39.673;;
74;-1,782467;-8,238045;0,577251;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:43:39.820;;
75;-1,779330;-8,250287;0,578262;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:43:39.967;;
76;-1,735276;-8,543284;0,579789;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:43:41.831;;
77;-1,711783;-8,918231;0,564871;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:43:44.539;;
78;-1,708315;-9,716123;0,566671;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:43:50.766;;
79;-1,718385;-9,696967;0,566871;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:43:51.143;;
80;-1,719695;-9,692782;0,567396;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:43:51.409;;
81;-1,718747;-9,692057;0,566246;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:43:51.556;;
82;-1,717338;-9,695321;0,564951;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:43:51.703;;
83;-1,691740;-10,594984;0,559536;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:43:59.440;;
84;-1,693517;-10,590913;0,559198;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:43:59.587;;
85;-1,685162;-10,613014;0,562881;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:44:00.113;;
86;-1,627886;-11,253026;0,573714;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:44:06.671;;
87;-1,626898;-11,247406;0,570883;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:44:06.818;;
88;-1,626231;-11,241981;0,566793;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:44:06.965;;
89;-1,625799;-11,236428;0,564196;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:44:07.112;;
90;-1,627542;-11,234538;0,564035;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:44:07.259;;
91;-1,631152;-11,248260;0,565907;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:44:07.524;;
92;-1,630628;-11,256659;0,567771;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:44:07.671;;
93;-1,615292;-11,379562;0,584547;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:44:08.571;;
94;-1,578216;-11,966704;0,590807;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:44:14.181;;
95;-1,576170;-12,028034;0,591985;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:44:14.741;;
96;-1,577919;-12,061771;0,590264;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:44:15.035;;
97;-1,577876;-12,090381;0,590988;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:44:15.299;;
98;-1,571834;-12,234298;0,583798;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:44:16.598;;
99;-1,568258;-12,418613;0,596341;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:44:17.940;;
100;-1,543244;-12,834204;0,591875;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:44:20.754;;
101;-1,540639;-12,874627;0,591665;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:44:21.019;;
102;-1,470724;-13,841354;0,590063;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:44:27.535;;
103;-1,473679;-13,837887;0,587190;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:44:27.682;;
104;-1,496035;-13,839753;0,584424;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:44:28.290;;
105;-1,493266;-13,847863;0,581045;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:44:28.556;;
106;-1,494277;-15,470977;0,713959;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:44:39.018;;
107;-1,505954;-15,472353;0,712316;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:44:39.393;;
108;-1,504691;-15,477787;0,712945;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:44:39.658;;
109;-1,503507;-15,481431;0,712750;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:44:39.805;;
110;-1,504621;-15,488657;0,713679;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:44:39.952;;
111;-1,506479;-15,500038;0,713585;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:44:40.099;;
112;-1,457186;-16,439707;0,657421;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:44:46.297;;
113;-1,411212;-16,812568;0,649626;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:44:48.714;;
114;-1,414863;-16,992850;0,661932;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:44:50.150;;
115;-1,413441;-17,017363;0,664324;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:44:50.297;;
116;-1,448345;-17,787417;0,657587;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:45:04.533;;
117;-1,412971;-18,051358;0,668481;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:45:07.289;;
118;-0,958777;-18,236474;0,937234;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:45:15.810;;
119;-0,730927;-18,264451;1,045425;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:45:19.383;;
120;-0,733612;-18,264043;1,044341;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:45:20.346;;
